"","WTBAS.1","WTBAS.2","WTBAS.3","KOBAS.1","KOBAS.2","KOBAS.3","WTVEN.1","WTVEN.2","WTVEN.3","KOVEN.1","KOVEN.2","KOVEN.3"
"Bcl3",7.26418732470013,7.28678977102764,7.66385937431489,7.34946613832601,6.98648982177587,6.80657479666472,9.17893035785842,8.56435076352908,8.8631214567658,8.71028723345863,9.36112655654627,9.26274790459686
"Bmp4",9.71170310336934,10.0885301856777,9.96728521766248,9.58087212215911,9.75484256959238,9.71771392980817,9.12650171726877,9.1118981138029,8.91563075450151,9.57451666037271,10.1573109648847,9.81119615915651
"Bnc1",4.9329533787996,5.32762385840989,4.93261399245609,5.82952590197037,5.19795687912615,5.50484131919541,4.64971139321175,5.1347701552941,4.3400829893645,4.4551017541473,4.35283559863717,4.10291748373785
"Klf5",9.11490909518279,9.08340996319744,9.42423038075446,9.67643804019844,9.51763528511582,9.60105672360158,10.2202963053234,9.58899167420121,9.85158766168833,10.2959299138046,10.7683308227704,10.78388458917
"Btg2",9.33594792018284,9.78946119077403,10.0114766762893,9.60404092161194,9.95207665381392,9.57296919259736,9.67328430986605,9.10364981837742,9.25503006730077,10.9141308017564,10.5790175421422,10.9982363290906
"Cacybp",8.28737145004099,8.6876404842213,8.19900323905975,8.6548383352403,8.32798917316596,8.64492125572595,8.68489007338898,8.72212247612671,8.81249616912748,9.58067621329406,9.56112300452676,9.76205544842094
"Casp4",7.63319404487176,7.70740329942183,7.56751905008481,7.657562797111,7.75862363932713,7.61707493718449,8.48686084568264,8.6799544335488,8.60717683936156,8.9512860474251,8.76154747360201,8.77167741558467
"Cckar",9.7455687832261,9.49050162674866,9.33164964323846,10.0876510296934,9.99880467037892,9.93922057208589,8.50595306986605,8.95787291331377,8.7493985819634,8.81175176677586,8.15349711284303,8.4741060285669
"Noct",5.19026744591234,5.34556671696868,5.87424452232422,6.1561039592126,5.6543370389392,5.76289725484179,6.38060358823663,6.27843559777311,6.60010326645794,7.78058652217537,8.11971962380158,7.75280176303594
"Cd80",6.35916771480576,6.22022983425304,6.11340844139507,6.14106631635469,5.69742123540251,5.76934652707917,6.8819588056692,6.53862797717518,6.73679894265708,6.88872158655662,6.89366529216773,7.26099942311159
"Cdkn1a",8.64699333582489,9.34701347394568,9.4564016479284,8.61472386314675,8.96258715102499,8.57599622168287,10.3666893686257,10.7710464723424,10.8726361819034,11.3572353405364,11.7094949377756,11.4200779189668
"Cebpb",7.33989952068946,7.57836800549387,7.85310212255338,7.99613050313426,7.60597218676123,7.55276189505126,8.19573266486216,8.00094215951183,8.01881688248498,8.92302409186713,8.93898321737196,9.15647239106722
"Cebpd",7.40808218522463,8.1186178404652,7.84564792879901,8.23722546774633,8.04236938194845,7.67877645174844,8.87568112034756,8.36946585513182,8.58615107229253,9.17807141641393,9.33928023330103,9.1954975497383
"Ch25h",6.46696173486473,6.97132431457759,6.76978470476628,6.77927227073509,6.47295653995269,6.27859458963665,8.84556181738364,7.46012503699257,8.21346945656281,9.20083191884899,8.84470584385859,9.26719167271643
"Chad",8.98486993042681,9.08283948301389,10.3013484436456,9.92188817309536,8.7945658455984,9.64108890939735,10.2348034644762,9.36419363704292,9.36335934632202,7.76908715872774,7.82284352681091,7.84417648313127
"Chka",8.20946509754288,8.4202722278851,8.29161708432232,8.32068574729875,8.0338648145771,8.21419773040232,8.71839420545184,8.96889504581784,9.04056730455109,9.75733777321504,9.57655429319913,9.57205770153466
"Socs3",6.18653452399038,6.47912675909709,6.71413572368292,6.22597442525079,6.63982433270921,6.29916701802302,7.93101460994583,7.1657561248636,7.59555144160765,8.33432760675833,8.52380421275329,8.73832954686178
"Cldn4",6.05078814942774,5.67000061755953,5.75612118057961,7.01555156476386,6.69812697276321,6.40070257067007,8.59896116672236,7.58740604358115,8.23715573999772,8.2169637005247,9.29410855447354,8.76758521646132
"Cxcr2",7.83684775381297,7.56802932952396,6.55038386234362,8.16168066217776,7.63763932789795,7.2083689472101,8.1538422353428,7.97425689649607,7.70410362246578,9.02034030948708,9.37787174529397,9.04650612163673
"Ccr1",5.72843210468083,5.55350491384139,5.62556694618059,6.02599761223058,6.07625803583687,5.53804574871838,6.60310868660212,6.2750128273027,6.20400972039931,7.55386598801595,7.85090691067786,7.35704236977812
"Plk3",6.37791784193574,6.50341535987217,6.60709806912759,6.66704343949635,6.91221221737429,6.41835109270885,8.70919760679118,7.97482523400904,8.42883302743132,9.62099657356325,9.46775556600749,9.35516148293945
"Csf3r",8.73447856897114,8.30537624321752,7.93011777676738,8.6302507176741,8.54654395276255,7.78519607877538,9.23425139059585,8.7278811968241,8.57357506983407,9.17519029510977,9.53985304247836,9.31079603877808
"Cyp2a4",5.92401874550399,5.01367468578278,5.81404167820021,8.05250680326152,6.066649836478,7.94036528053616,7.44902677602967,4.89897390530413,5.05057311934297,5.47092642843775,5.79600122767457,5.94478047152371
"Cyp4a14",4.46293299107353,7.43122783834673,4.81523157659474,3.62019647538127,3.89804433061501,3.46541040750586,3.57368042306214,3.7548557113717,3.34121694341971,3.47892798923699,3.63068933654806,3.75344469920807
"Cyp51",6.85977338932217,7.25609166369464,7.09638259925833,6.92068430674955,6.56692212621645,7.25926060993497,8.19293466472932,7.97924152230747,7.63604964468381,8.3026086319326,8.40053259925248,8.67095939857265
"Dbp",9.45491329803658,7.4513274211194,7.93742372579144,9.80507366527762,9.43596245138269,9.64498525433832,8.03435274606804,6.89595470936479,7.12298601662233,6.68284350816299,6.72415376038311,6.91381124133913
"Gadd45a",7.52355459068668,7.46121668494039,7.47103379366024,7.28730474632558,7.38321285507821,7.37275344734945,8.72331119556134,8.11032499874603,8.81069922392804,9.53646232730729,9.62444206961183,9.49513776578583
"Ddit3",6.67858475397429,6.74043622833782,6.64698136405192,6.7657048404516,6.8723520678406,6.66213474837645,7.12645380811115,7.04154251094718,7.24702114989386,7.86774747419766,7.77671398357395,7.85385361067531
"Edn1",9.27182163093776,8.83126318995327,9.09862062523736,9.49549963234432,8.48728766326829,8.90353108413309,7.78769316898045,7.48436401120599,7.71276889176082,7.83953200787405,7.85106354791704,8.52139754464963
"Egr1",7.55791235713698,8.21255163255212,7.89222994754861,7.58968055104755,8.15501251887732,6.94898155073104,9.34337164571875,7.63306555891345,8.17725816599257,10.6500405769747,10.0409024715376,10.4571866244891
"Egr2",6.13166455064311,6.6369028701166,6.90939789881544,6.50254995707064,6.86871275922857,6.71036533490957,7.72555575017262,6.87681016750055,7.17102481928699,8.8757091749355,8.07696147941176,8.56743772339337
