"","WTBAS.1","WTBAS.2","WTBAS.3","KOBAS.1","KOBAS.2","KOBAS.3","WTVEN.1","WTVEN.2","WTVEN.3","KOVEN.1","KOVEN.2","KOVEN.3"
"17537345",5.81641886334887,5.59353920099162,5.64774561465849,6.12859266339821,6.14736928082564,6.03954058269075,5.91384765720483,5.78596871265464,6.2432309647289,5.6036323267936,5.784317261979,5.60951366787401
"17464248",6.85569891412984,6.86957105539484,7.0611145396222,6.33404969238989,6.7709113168433,6.59715795872713,6.48411876979093,6.65215071724448,6.58616187050071,6.31583040098984,6.36649459278206,6.44400891628954
"17529569",7.72498330864456,7.55452164765586,7.72213000923942,7.22425437641162,7.50446385885769,7.56789740095445,7.23220472658598,7.46079492013334,7.30323618564399,7.22937933815971,7.16929254997497,7.22128489860044
"17501096",3.76287501867566,4.05168751185003,3.7994958550405,3.49168045344129,3.85814548088353,3.54907077541591,3.59060511733106,3.63271075059223,4.0660664955493,3.49263276571278,3.42089195168802,3.9908854435544
"17419389",5.23372564765427,5.1970803380145,5.36448590250211,5.54654731843641,5.21948080844706,5.10668142011252,5.80665732280857,5.95468933878721,6.02058818407844,6.06757932088733,6.53824330005205,6.82131116418231
"17534213",4.86105983888233,5.11582265091586,5.41044360522875,5.18223094259099,4.72112850115677,4.779098394933,4.9818738407165,5.17786408074247,4.42475468320616,4.47467265411559,4.78935243645603,4.6665829180946
"17490667",5.48754738233248,5.429096879136,5.5579334639005,5.67468496847551,5.74861160955,6.06571384514325,5.34385382529211,5.54799785704432,5.22832674698936,5.85577175022138,5.76573459172766,5.56656117313859
"17455459",5.89510744432408,5.59258753113007,5.93843818857451,5.72527191824276,5.7640861988981,5.81467489450943,5.24359441938432,5.48748163076026,5.23741624671465,5.17802685506263,5.45660809476955,5.2563321937691
"17418724",5.96498511934152,6.27970353320968,6.22882648854967,5.44723794608905,5.5914947595309,5.6708742322172,5.4913861989113,5.79495500876448,5.59427740674269,5.32468733436292,5.21378736364904,5.42829880419874
"17466279",3.55277189886172,4.51217400196837,3.68216746472222,3.70647500172218,4.01406142473832,4.0059274953105,4.06855213302119,4.18487111833008,3.64433720580616,4.18269649388987,3.85436838989408,3.64205063441158
"17234718",5.99151371337655,6.31244626601917,5.93147592944079,5.58099607427538,5.59766740242646,6.141556273246,5.95621078771674,5.63655285647067,5.93662819516825,5.69743470292398,6.11033222718183,6.17264735466569
"17230067",7.75590975750626,7.80375706835884,7.35126989433981,6.82626787318871,7.12612318182029,7.03801848164485,7.2998497500709,7.51921763619564,7.2906201563905,6.3988948065374,6.88563500530488,6.44215836709346
"17340584",6.00398348099575,6.08887202360781,6.05500455444077,5.48948583171567,5.98093307587018,5.62565426034295,6.26375475401699,6.14706381958282,6.39359239411538,5.59000739049948,5.33594478969005,5.67088032120329
"17340599",6.16617644935899,5.78893301391694,6.15034629714973,5.8386665974349,6.00864779269743,5.55667670953559,6.52893748136595,6.46321541390511,6.12555935928032,6.08405049180626,6.08634851554802,6.2065734584112
"17533950",4.23447098231509,3.78598639582427,3.74783519868942,4.39225731057476,3.93058735323859,4.34915286903154,3.95974079512454,3.66291838964788,4.1643943387661,3.82320657142586,3.74690205738389,3.91376495027886
"17424968",4.63155255317488,4.74267266734941,4.49314514098253,4.44049414119223,4.52647250446541,4.3245377261012,4.16615411450239,4.13767814126062,4.22600984137863,4.19162677520823,4.12439543184256,3.87818493397142
"17225253",7.87346627391822,8.20056483970009,8.17920046215409,8.58736599205368,8.13851992351884,8.49884554038009,8.30734326037236,8.36110030839954,7.93649314167732,9.0404712284985,8.30419276421066,8.85589549271447
"17366244",5.56317452091586,5.37293160080517,4.73294754476956,5.17170965709954,5.63409785105024,4.80305024427284,4.66218735087185,5.0110234709658,4.76875636176931,4.83460281561218,5.1329969557868,4.70389144516623
"17240303",5.44670984988854,5.63165239804279,5.52189381684317,5.78740665719666,4.73753137044184,5.47241414966318,4.92927495507511,5.20776934181642,5.08642049884517,5.10015084195678,4.7381402910216,4.24670658431065
"17481188",3.858865600727,4.71491595884151,4.07668993918112,4.34929166512054,4.20844100826582,3.85715723880677,3.91414830902822,3.70560891449829,3.66813763716825,3.69284856500109,3.90595410327213,3.74416761285265
"17547719",7.89728201158877,7.99269782330665,8.08579074996057,8.24364594995005,8.50061226692381,8.06607657827893,7.71944979111942,8.09491248918634,7.8968369295611,7.59120291674206,7.52161032925969,7.48410761996807
"17242316",5.87293517937854,5.90111801677175,6.48077403108031,5.09276874161833,5.905658665651,6.37932282794289,6.35686039211051,6.28225589326254,6.42302009062667,6.19326516275008,5.31797642554276,5.90365558569664
"17550492",5.86975536945115,5.55301818027111,5.44515501585821,5.70771452415676,5.70757481881557,5.35796422974044,6.16009141090857,6.18793882525282,6.0930735792647,6.25426297031075,6.51553062153649,6.41129703450745
"17341161",8.03629204804536,8.25468285091995,8.57035496684628,8.34453786775048,8.13911921680019,8.26649055763242,7.9622517006724,8.25879398316751,8.05541229031595,7.6779473558662,7.78398367312616,7.93035797480491
"17333386",3.78699780030641,4.29177555338339,4.1177100627265,4.63047714750571,4.10453985243799,4.02232551832331,4.27039091011527,4.52179842556829,4.31817884842753,3.96953986537186,3.99556481425194,3.88327683157445
"17288035",4.58235206311421,4.89158111312766,4.35690335744924,4.73740954354186,4.73560821036459,5.2004633769506,4.12877321828432,4.40501605898311,3.99508353673047,4.61027015516142,4.48279383007028,4.39578969315484
"17269156",6.82605057312775,6.65396017183887,6.91437440451634,5.43532751516963,7.06785346678233,7.2432864793303,6.88218619021875,6.65587425193285,6.37522197198745,6.45134852072696,6.47025454191147,6.42238405519783
"17318100",9.21355064639584,9.33716575104098,8.81317514409078,8.68890762953632,9.11758587587517,8.97714263156391,8.26895196837425,8.59048824809381,8.37359728878188,8.70188530019614,9.01408569522755,8.67318901293586
"17333493",5.68065050465592,5.78381585192065,5.22858368509833,5.15430926415532,5.19536727049176,4.99131457166633,5.0049457915737,5.62394002172873,5.2653947951906,4.52070365731969,4.64966817069676,4.73186079907952
"17216120",5.77917803294912,6.05590756653831,5.9464955680337,6.14014622230349,6.21738612215298,5.78562121189471,6.08203151130446,6.28280001987052,6.12560817436024,5.53212599300461,6.16347380005861,6.33120688306757
"17432770",6.63498382312455,6.6987614061368,5.81919498520441,6.2347363086227,6.47611506538536,6.22933315446629,5.56560566230552,6.55034230676837,6.44940837786914,6.3046493139966,6.42286889792697,5.982071826949
"17534665",9.54141556593267,9.93267398273883,9.93310862023511,9.93500458096684,9.74029339869844,9.87778847097517,9.44389837520843,9.48316532942679,9.28327897135732,9.56616953832099,9.59329795944841,9.36243231678432
"17450937",7.31810375591173,6.8855681478057,6.78592297279975,7.27501556750817,7.06734620930747,7.10382648198691,5.69555886457014,6.81925739447611,6.56689237460319,6.39522098647917,6.83805110672157,6.13232502366875
"17541713",9.74402174274092,10.17847387803,10.3574170008648,10.4151761065015,10.6247405409691,10.6616833857157,10.0546740540142,9.62947454434942,9.60351976519596,10.5424733194403,10.5540252418362,10.4703405018272
"17446017",6.63293092277659,6.20995842644571,6.11841511555768,6.25015666881616,5.98325028027522,6.3202463109266,6.3343450024232,6.39853683656196,6.01820510358018,5.66595547416019,5.93912601370375,5.97543080837148
"17353676",6.34527891701166,6.43072648809551,6.41530834910658,6.24373208748661,6.17777121147476,6.39235340894005,5.68465253333009,5.80027831686716,5.4714646428701,5.98704197992951,5.82894673354155,5.64991212691225
"17439861",7.60154469842622,7.63792145635252,7.55899201987032,7.18414653854046,7.14700972681643,7.00285781328381,7.94230794845012,7.96481440511301,8.0986681101578,7.83657687914821,7.91082721818863,8.25536146865044
"17260306",6.80057946276128,7.04141807946217,6.45311506310633,6.05632342156392,6.50362144126782,6.50303440654464,6.85781557166404,7.03684067059645,6.5272805972229,5.71177541215599,6.41603150555067,6.27936716115081
